aggregation_option,explanation
proto,IP protocol
srcip,Source IP address
dstip,Destination IP address
srcip4/net IPv4 source IP address with applied netmask
srcip6/net IPv6 source IP address with applied netmask
dstip4/net IPv4 destination IP address with applied netmask
dstip6/net IPv6 destination IP address with applied netmask
srcnet, Apply netmask srcmask in netflow record for source IP
dstnet, Apply netmask dstmask in netflow record for dest IP
srcport,Source port
dstport,Destination port
srcmask,Source mask
dstmask,Destination mask
srcvlan,Source vlan label
dstvlan,Destination vlan label
srcas,Source AS number
dstas,Destination AS number
nextas,BGP Next AS
prevas,BGP Previous AS
inif,SNMP input interface number
outif,SNMP output interface number
next,IP next hop
bgpnext,BGP next hop
insrcmac,In source MAC address
outdstmac,out destination MAC address
indstmac,In destintation MAC address
outsrcmac  Out source MAC address
tos,Source type of service
srctos,Source type of Service
dsttos,Destination type of Service
mpls1,MPLS label 1
mpls2,MPLS label 2
mpls3,MPLS label 3
mpls4,MPLS label 4
mpls5,MPLS label 5
mpls6,MPLS label 6
mpls7,MPLS label 7
mpls8,MPLS label 8
mpls9,MPLS label 9
mpls10,MPLS label 10
router,Exporting router IP
